action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,66112,[],CHEMBL844999,Inhibition of src at 5 mM ATP,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)(C)n1cc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,,,CHEMBL1132739,Bioorg Med Chem Lett,2000.0,"{'bei': '17.34', 'le': '0.31', 'lle': '0.98', 'sei': '9.42'}",CHEMBL302281,,CHEMBL302281,6.21,0,http://www.openphacts.org/units/Nanomolar,120770,=,1,1,=,,IC50,nM,,610.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.61
,,72283,[],CHEMBL805362,In vitro inhibition of Src protein tyrosine kinase using the Scintillation proximity kinase assay.,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1c(-c1cccc(O)c1)cn2-c1ccc(CCOP(=O)(O)CP(=O)(O)O)cc1,,,CHEMBL1136208,Bioorg Med Chem Lett,2003.0,"{'bei': '14.32', 'le': '0.29', 'lle': '3.96', 'sei': '3.99'}",CHEMBL104215,,CHEMBL104215,7.22,0,http://www.openphacts.org/units/Nanomolar,194223,=,1,1,=,,IC50,nM,,60.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.06
,,72284,[],CHEMBL805362,In vitro inhibition of Src protein tyrosine kinase using the Scintillation proximity kinase assay.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2cn(-c3ccc(C(=O)Nc4ccc(P(=O)(O)O)c(P(=O)(O)O)c4)cc3)c3ncnc(N)c23)c1,,,CHEMBL1136208,Bioorg Med Chem Lett,2003.0,"{'bei': '10.18', 'le': '0.20', 'lle': '3.52', 'sei': '2.88'}",CHEMBL321569,,CHEMBL321569,6.06,0,http://www.openphacts.org/units/Nanomolar,194217,=,1,1,=,,IC50,nM,,870.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.87
,,72318,[],CHEMBL882727,Inhibitory concentration against Src protein tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CCN5CCOCC5)c4)ccc23)c(Cl)cc1Cl,,,CHEMBL1134917,Bioorg Med Chem Lett,2002.0,"{'bei': '14.13', 'le': '0.28', 'lle': '0.83', 'sei': '10.71'}",CHEMBL103293,,CHEMBL103293,7.54,0,http://www.openphacts.org/units/Nanomolar,189215,=,1,1,=,,IC50,nM,,29.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,nM,UO_0000065,,29.0
,,73283,[],CHEMBL805362,In vitro inhibition of Src protein tyrosine kinase using the Scintillation proximity kinase assay.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(-c2cn(C(C)(C)C)c3ncnc(N)c23)cc1,,,CHEMBL1136208,Bioorg Med Chem Lett,2003.0,"{'bei': '24.68', 'le': '0.45', 'lle': '3.18', 'sei': '12.20'}",CHEMBL321779,,CHEMBL321779,6.92,0,http://www.openphacts.org/units/Nanomolar,194212,=,1,1,=,,IC50,nM,,120.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.12
,,73317,[],CHEMBL882727,Inhibitory concentration against Src protein tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CCN1CCN(CCc2ccc(-c3ccc4c(Nc5cc(OC)c(Cl)cc5Cl)c(C#N)cnc4c3)cc2)CC1,,,CHEMBL1134917,Bioorg Med Chem Lett,2002.0,"{'bei': '15.04', 'le': '0.30', 'lle': '1.42', 'sei': '13.09'}",CHEMBL103454,,CHEMBL103454,8.43,0,http://www.openphacts.org/units/Nanomolar,189213,=,1,1,=,,IC50,nM,,3.7,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,nM,UO_0000065,,3.7
,,73319,[],CHEMBL882727,Inhibitory concentration against Src protein tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CN5CCN(C)CC5)c4)ccc23)c(Cl)cc1Cl,,,CHEMBL1134917,Bioorg Med Chem Lett,2002.0,"{'bei': '14.75', 'le': '0.29', 'lle': '1.27', 'sei': '12.19'}",CHEMBL102595,,CHEMBL102595,7.85,0,http://www.openphacts.org/units/Nanomolar,189212,=,1,1,=,,IC50,nM,,14.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,nM,UO_0000065,,14.0
,,74394,[],CHEMBL882727,Inhibitory concentration against Src protein tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CCN5CCOCC5)c4)c(OC)cc23)c(Cl)cc1Cl,,,CHEMBL1134917,Bioorg Med Chem Lett,2002.0,"{'bei': '12.65', 'le': '0.25', 'lle': '0.41', 'sei': '8.95'}",CHEMBL419171,,CHEMBL419171,7.13,0,http://www.openphacts.org/units/Nanomolar,189205,=,1,1,=,,IC50,nM,,74.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,nM,UO_0000065,,74.0
,,74396,[],CHEMBL882727,Inhibitory concentration against Src protein tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CCN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,,,CHEMBL1134917,Bioorg Med Chem Lett,2002.0,"{'bei': '14.72', 'le': '0.29', 'lle': '1.14', 'sei': '11.15'}",CHEMBL102165,,CHEMBL102165,7.85,0,http://www.openphacts.org/units/Nanomolar,189214,=,1,1,=,,IC50,nM,,14.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,nM,UO_0000065,,14.0
,,76647,[],CHEMBL805362,In vitro inhibition of Src protein tyrosine kinase using the Scintillation proximity kinase assay.,B,,,BAO_0000190,BAO_0000357,single protein format,CN(CCO)CCc1ccc(-n2cc(-c3cccc(O)c3)c3c(N)ncnc32)cc1,,,CHEMBL1136208,Bioorg Med Chem Lett,2003.0,"{'bei': '18.33', 'le': '0.34', 'lle': '4.56', 'sei': '7.37'}",CHEMBL105056,,CHEMBL105056,7.40,0,http://www.openphacts.org/units/Nanomolar,194221,=,1,1,=,,IC50,nM,,40.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.04
,,76679,[],CHEMBL882727,Inhibitory concentration against Src protein tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,,,CHEMBL1134917,Bioorg Med Chem Lett,2002.0,"{'bei': '16.75', 'le': '0.34', 'lle': '3.70', 'sei': '10.72'}",CHEMBL288441,BOSUTINIB,CHEMBL288441,8.89,0,http://www.openphacts.org/units/Nanomolar,189208,=,1,1,=,,IC50,nM,,1.3,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,nM,UO_0000065,,1.3
,,78011,[],CHEMBL843061,Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '15.82', 'le': '0.29', 'lle': '1.92', 'sei': '7.66'}",CHEMBL432941,,CHEMBL432941,7.00,0,http://www.openphacts.org/units/Nanomolar,163350,=,1,1,=,,IC50,nM,,100.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.1
,,79180,[],CHEMBL843061,Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '15.98', 'le': '0.30', 'lle': '2.45', 'sei': '6.41'}",CHEMBL420609,,CHEMBL420609,5.86,0,http://www.openphacts.org/units/Nanomolar,163340,=,1,1,=,,IC50,nM,,1390.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,1.39
,,80322,[],CHEMBL843061,Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,,,CHEMBL1133768,J Med Chem,2000.0,,CHEMBL419682,,CHEMBL419682,,0,http://www.openphacts.org/units/Nanomolar,163354,>,1,1,>,,IC50,nM,,20000.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,20.0
,,81206,[],CHEMBL882727,Inhibitory concentration against Src protein tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,,,CHEMBL1134917,Bioorg Med Chem Lett,2002.0,"{'bei': '16.33', 'le': '0.32', 'lle': '1.82', 'sei': '12.05'}",CHEMBL322395,,CHEMBL322395,8.48,0,http://www.openphacts.org/units/Nanomolar,189216,=,1,1,=,,IC50,nM,,3.3,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,nM,UO_0000065,,3.3
,,83551,[],CHEMBL843061,Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,,CHEMBL88462,,CHEMBL88462,,0,http://www.openphacts.org/units/Nanomolar,163347,>,1,1,>,,IC50,nM,,20000.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,20.0
,,84548,[],CHEMBL843061,Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '18.98', 'le': '0.35', 'lle': '4.12', 'sei': '6.04'}",CHEMBL431996,,CHEMBL431996,7.22,0,http://www.openphacts.org/units/Nanomolar,163341,=,1,1,=,,IC50,nM,,60.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.06
,,85354,[],CHEMBL805362,In vitro inhibition of Src protein tyrosine kinase using the Scintillation proximity kinase assay.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2cn(-c3cccc(C(=O)Nc4ccc(C(P(=O)(O)O)P(=O)(O)O)cc4)c3)c3ncnc(N)c23)c1,,,CHEMBL1136208,Bioorg Med Chem Lett,2003.0,"{'bei': '7.75', 'le': '0.15', 'lle': '0.44', 'sei': '2.25'}",CHEMBL104077,,CHEMBL104077,4.72,0,http://www.openphacts.org/units/Nanomolar,194216,=,1,1,=,,IC50,nM,,19000.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,19.0
,,85634,[],CHEMBL843061,Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,,CHEMBL91250,,CHEMBL91250,,0,http://www.openphacts.org/units/Nanomolar,163353,>,1,1,>,,IC50,nM,,20000.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,20.0
,,85643,[],CHEMBL843061,Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '16.87', 'le': '0.31', 'lle': '1.89', 'sei': '8.47'}",CHEMBL88771,,CHEMBL88771,6.96,0,http://www.openphacts.org/units/Nanomolar,163339,=,1,1,=,,IC50,nM,,110.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.11
,,86223,[],CHEMBL805362,In vitro inhibition of Src protein tyrosine kinase using the Scintillation proximity kinase assay.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2cn(-c3ccc(C(=O)NCCCP(=O)(O)CP(=O)(O)O)cc3)c3ncnc(N)c23)c1,,,CHEMBL1136208,Bioorg Med Chem Lett,2003.0,"{'bei': '11.80', 'le': '0.24', 'lle': '3.40', 'sei': '3.48'}",CHEMBL104857,,CHEMBL104857,6.60,0,http://www.openphacts.org/units/Nanomolar,194213,=,1,1,=,,IC50,nM,,250.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.25
,,86274,[],CHEMBL882727,Inhibitory concentration against Src protein tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Nc2c(C#N)cnc3cc(-c4ccccc4CN4CCOCC4)ccc23)c(Cl)cc1Cl,,,CHEMBL1134917,Bioorg Med Chem Lett,2002.0,"{'bei': '10.39', 'le': '0.20', 'lle': '-1.26', 'sei': '7.67'}",CHEMBL100076,,CHEMBL100076,5.40,0,http://www.openphacts.org/units/Nanomolar,189209,=,1,1,=,,IC50,nM,,4000.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,nM,UO_0000065,,4000.0
,,87306,[],CHEMBL805362,In vitro inhibition of Src protein tyrosine kinase using the Scintillation proximity kinase assay.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2cn(-c3ccc(CCO)cc3)c3ncnc(N)c23)c1,,,CHEMBL1136208,Bioorg Med Chem Lett,2003.0,"{'bei': '16.48', 'le': '0.30', 'lle': '2.73', 'sei': '6.89'}",CHEMBL320417,,CHEMBL320417,5.94,0,http://www.openphacts.org/units/Nanomolar,194205,=,1,1,=,,IC50,nM,,1150.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,1.15
,,87307,[],CHEMBL805362,In vitro inhibition of Src protein tyrosine kinase using the Scintillation proximity kinase assay.,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(-c2nn(-c3cccc(C(=O)NCCCP(=O)(O)CP(=O)(O)O)c3)c3ncnc(N)c23)cc1,,,CHEMBL1136208,Bioorg Med Chem Lett,2003.0,"{'bei': '11.75', 'le': '0.24', 'lle': '3.50', 'sei': '3.31'}",CHEMBL3706662,,CHEMBL3706662,6.40,0,http://www.openphacts.org/units/Nanomolar,194209,=,1,1,=,,IC50,nM,,400.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.4
,,87622,[],CHEMBL843061,Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '16.32', 'le': '0.30', 'lle': '2.14', 'sei': '7.90'}",CHEMBL91815,,CHEMBL91815,7.22,0,http://www.openphacts.org/units/Nanomolar,163348,=,1,1,=,,IC50,nM,,60.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.06
,,88332,[],CHEMBL805362,In vitro inhibition of Src protein tyrosine kinase using the Scintillation proximity kinase assay.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2cn(-c3cccc(C(=O)Nc4ccc(P(=O)(O)O)c(P(=O)(O)O)c4)c3)c3ncnc(N)c23)c1,,,CHEMBL1136208,Bioorg Med Chem Lett,2003.0,"{'bei': '9.41', 'le': '0.19', 'lle': '3.06', 'sei': '2.67'}",CHEMBL105516,,CHEMBL105516,5.60,0,http://www.openphacts.org/units/Nanomolar,194218,=,1,1,=,,IC50,nM,,2500.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,2.5
,,88633,[],CHEMBL843061,Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '20.14', 'le': '0.36', 'lle': '1.93', 'sei': '11.86'}",CHEMBL328029,,CHEMBL328029,5.32,0,http://www.openphacts.org/units/Nanomolar,163357,=,1,1,=,,IC50,nM,,4740.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,4.74
,,88642,[],CHEMBL843061,Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '14.20', 'le': '0.31', 'lle': '1.73', 'sei': '7.17'}",CHEMBL314995,,CHEMBL314995,5.90,0,http://www.openphacts.org/units/Nanomolar,163343,=,1,1,=,,IC50,nM,,1270.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,1.27
,,89335,[],CHEMBL882727,Inhibitory concentration against Src protein tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CN5CCOCC5)c4)ccc23)c(Cl)cc1Cl,,,CHEMBL1134917,Bioorg Med Chem Lett,2002.0,"{'bei': '14.54', 'le': '0.29', 'lle': '0.89', 'sei': '10.73'}",CHEMBL103839,,CHEMBL103839,7.55,0,http://www.openphacts.org/units/Nanomolar,189206,=,1,1,=,,IC50,nM,,28.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,nM,UO_0000065,,28.0
,,90223,[],CHEMBL805362,In vitro inhibition of Src protein tyrosine kinase using the Scintillation proximity kinase assay.,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cccc(-c2cn(-c3ccc(CCN(C)CCOP(=O)(O)CP(=O)(O)O)cc3)c3ncnc(N)c23)c1,,,CHEMBL1136208,Bioorg Med Chem Lett,2003.0,"{'bei': '11.31', 'le': '0.23', 'lle': '3.02', 'sei': '3.76'}",CHEMBL421025,,CHEMBL421025,6.51,0,http://www.openphacts.org/units/Nanomolar,194225,=,1,1,=,,IC50,nM,,310.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.31
,,91347,[],CHEMBL882727,Inhibitory concentration against Src protein tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CCN1CCN(Cc2ccc(-c3ccc4c(Nc5cc(OC)c(Cl)cc5Cl)c(C#N)cnc4c3)cc2)CC1,,,CHEMBL1134917,Bioorg Med Chem Lett,2002.0,"{'bei': '15.60', 'le': '0.31', 'lle': '1.55', 'sei': '13.23'}",CHEMBL100825,,CHEMBL100825,8.52,0,http://www.openphacts.org/units/Nanomolar,189207,=,1,1,=,,IC50,nM,,3.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,nM,UO_0000065,,3.0
,,91572,[],CHEMBL843061,Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,,,CHEMBL1133768,J Med Chem,2000.0,"{'bei': '20.67', 'le': '0.40', 'lle': '5.07', 'sei': '6.76'}",CHEMBL88483,,CHEMBL88483,7.10,0,http://www.openphacts.org/units/Nanomolar,163351,=,1,1,=,,IC50,nM,,80.0,CHEMBL267,Homo sapiens,Tyrosine-protein kinase SRC,9606,,,IC50,uM,UO_0000065,,0.08
